date,active_apps_total_old,active_apps_total_new,downloads_total,entered_codes_total,sum_entered_codes,medical_hotline_count
2020-12-17,1410000,1800000,2855844,680,4530,107
2020-12-18,1410000,1810000,2858041,603,4428,103
2020-12-19,1390000,1810000,2860127,561,4407,66
2020-12-20,1390000,1820000,2861858,481,4391,92
2020-12-21,1390000,1820000,2863665,551,4314,107
2020-12-22,1400000,1800000,2865494,634,4291,101
2020-12-23,1400000,1790000,2867150,644,4154,69
2020-12-24,1390000,1780000,2869443,509,3983,72
2020-12-25,1380000,1790000,2872209,425,3805,34
2020-12-26,1380000,1800000,2874006,459,3703,35
2020-12-27,1380000,1810000,2878119,401,3623,30
2020-12-28,1400000,1830000,2882457,460,3532,37
2020-12-29,1390000,1820000,,661,3559,39
2020-12-30,1400000,1820000,,0,2915,
2020-12-31,1400000,1800000,,,,
